iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
53	0.8731481552	1.438314929	0.5622317597	0	0	0.6075949367	0.6368286445	0.2909090909	0
54	0.8742683322	1.434068624	0.5622317597	0	0	0.6103404792	0.6354900705	0.2909090909	0
55	0.8741680457	1.430047807	0.5615164521	0	0	0.6078184111	0.6350832266	0.2917933131	0
56	0.873976433	1.425807405	0.5608011445	0	0	0.6060606061	0.6346769034	0.2917933131	0
57	0.8743232522	1.421439852	0.5586552217	0	0	0.6032953105	0.6330567964	0.2865853659	0
58	0.8753360533	1.417251039	0.5636623748	0	0	0.6060606061	0.6362467866	0.3154761905	0
59	0.8742949805	1.413310147	0.56509299	0	0	0.6101265823	0.6371226718	0.3145400593	0
60	0.8738898135	1.409154537	0.5643776824	0	0	0.6093552465	0.6371226718	0.3095238095	0
61	0.8734121654	1.404961825	0.5658082976	0	0	0.6093552465	0.6383526384	0.3185840708	0
62	0.8746686571	1.400923273	0.5665236052	0	0	0.6111111111	0.6391752577	0.3176470588	0
63	0.8752343919	1.397444426	0.5643776824	0	0	0.6058301648	0.6379421222	0.3176470588	0
64	0.8763310737	1.393525616	0.5665236052	0	0	0.6103404792	0.639587363	0.3176470588	0
65	0.8774513532	1.389484728	0.56509299	0	0	0.6060606061	0.6382978723	0.3225806452	0
66	0.8778367064	1.385865785	0.5665236052	0	0	0.6060606061	0.6391220142	0.332361516	0
67	0.8787530871	1.382071292	0.5665236052	0	0	0.6062893082	0.639068564	0.332361516	0
68	0.8791692568	1.378376769	0.56509299	0	0	0.6042983565	0.6387096774	0.3265306122	0
69	0.8795431324	1.374640714	0.5665236052	0	0	0.6068268015	0.64	0.3265306122	0
70	0.8798428194	1.370667497	0.5672389127	0	0	0.6058301648	0.6408768536	0.3313953488	0
71	0.8799990507	1.367064389	0.5679542203	0	0	0.6113207547	0.640776699	0.3255813953	0
72	0.8803843737	1.363510385	0.5686695279	0	0	0.6120906801	0.6416558862	0.3255813953	0
73	0.8803897836	1.359693704	0.5686695279	0	0	0.6120906801	0.6420711974	0.3246376812	0
74	0.8815704955	1.356181238	0.5693848355	0	0	0.6122961104	0.6415584416	0.3342939481	0
75	0.8818586832	1.352680378	0.5679542203	0	0	0.6122961104	0.6411421155	0.323699422	0
76	0.8821540131	1.349509559	0.5679542203	0	0	0.6115288221	0.6402597403	0.3294797688	0
77	0.8818853426	1.346293636	0.5679542203	0	0	0.6097867001	0.6402597403	0.3342939481	0
78	0.8833094294	1.342891275	0.5693848355	0	0	0.6132665832	0.640625	0.3381088825	0
