,loan_term,gender,age,auto,housing,marstatus,regclient,jobtype,region,credits,children,delinq60plus
8762,9,женский,29,нет,собственное,холост,да,,новосибирская область,да,нет,1
8763,9,женский,26,,,,нет,,кемеровская область юг,нет,нет,1
8764,4,мужской,65,,собственное,разведен,да,,кемеровская область север,да,да,0
8765,4,женский,54,,,,нет,официальное,новосибирская область,нет,да,0
8766,9,женский,43,,собственное,холост,нет,официальное,кемеровская область север,да,да,0
8769,9,мужской,56,,собственное,,да,,кемеровская область север,нет,нет,0
8772,9,женский,27,,,,да,,кемеровская область север,да,да,0
8773,14,мужской,44,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
8774,14,женский,60,,,,да,,новосибирская область,да,нет,0
8778,14,мужской,22,,собственное,,да,,кемеровская область юг,да,нет,0
8779,14,женский,29,,,,да,,алтайский край,да,нет,0
8781,14,женский,24,нет,собственное,холост,да,официальное,кемеровская область север,да,,0
8785,14,женский,57,,,,да,,кемеровская область север,нет,нет,0
8787,14,мужской,27,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,нет,0
8789,14,женский,30,,,,нет,,кемеровская область север,да,да,0
8791,29,женский,56,нет,собственное,вдова/вдовец,нет,,кемеровская область юг,да,нет,0
8792,29,мужской,53,,,,да,,кемеровская область север,да,,0
8794,59,женский,39,нет,живут с родителями,гражданский брак/женат/замужем,нет,,алтайский край,нет,нет,0
8795,14,женский,66,,собственное,вдова/вдовец,да,,кемеровская область север,нет,нет,0
8798,14,мужской,53,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,,нет,0
8799,14,мужской,42,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
8803,9,женский,22,,,,да,,кемеровская область север,да,нет,1
8804,9,мужской,20,,собственное,холост,да,,кемеровская область юг,нет,нет,1
8806,14,женский,57,да,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,нет,1
8807,14,женский,54,,,,да,,кемеровская область юг,да,нет,1
8808,14,женский,42,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
8809,9,женский,28,,,,да,,кемеровская область север,нет,нет,1
8810,14,женский,57,,,,нет,,алтайский край,нет,нет,1
8815,59,женский,52,,,,да,,новосибирская область,нет,нет,1
8822,14,женский,66,нет,долевая собственность,гражданский брак/женат/замужем,нет,,алтайский край,нет,нет,1
8824,14,женский,26,,собственное,холост,нет,,кемеровская область север,нет,да,1
8829,14,мужской,29,,,,да,,кемеровская область север,нет,да,1
8833,14,женский,54,нет,собственное,гражданский брак/женат/замужем,нет,официальное,новосибирская область,да,,1
8835,9,мужской,24,,собственное,холост,нет,официальное,кемеровская область север,нет,нет,1
8837,9,мужской,23,,,,да,,кемеровская область север,да,нет,1
8839,14,мужской,23,нет,собственное,гражданский брак/женат/замужем,нет,официальное,новосибирская область,да,,1
8841,14,мужской,35,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,1
8844,14,женский,35,,собственное,холост,нет,официальное,кемеровская область север,нет,нет,1
8852,14,женский,33,,,,нет,,кемеровская область север,нет,да,1
8860,9,женский,28,нет,долевая собственность,гражданский брак/женат/замужем,да,,новосибирская область,да,нет,1
8862,4,мужской,56,,собственное,холост,нет,,кемеровская область север,нет,нет,0
8863,4,женский,41,,,,да,,кемеровская область север,да,нет,0
8864,4,женский,60,нет,собственное,вдова/вдовец,нет,,кемеровская область север,да,нет,0
8866,9,женский,34,нет,собственное,холост,нет,,новосибирская область,нет,да,0
8868,9,мужской,62,нет,муниципальное,вдова/вдовец,нет,официальное,кемеровская область север,нет,,0
8869,14,мужской,33,,собственное,холост,да,,кемеровская область юг,да,нет,0
8870,14,мужской,29,,,,да,,кемеровская область север,да,да,0
8872,14,мужской,39,,,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,нет,0
8873,14,мужской,23,,,,да,,новосибирская область,да,да,0
8876,14,женский,28,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,да,0
8877,14,женский,55,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,0
8878,14,женский,30,,собственное,разведен,нет,официальное,кемеровская область север,нет,да,0
8880,14,женский,58,,,,да,,кемеровская область север,нет,нет,0
8882,14,мужской,57,нет,собственное,разведен,нет,,кемеровская область юг,да,нет,0
8884,29,мужской,33,,,,да,,новосибирская область,да,да,0
8885,29,женский,53,,,,да,,кемеровская область север,да,нет,0
8886,14,мужской,30,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,0
8887,14,мужской,26,,муниципальное,холост,нет,официальное,кемеровская область север,нет,нет,0
8888,14,женский,50,,,,да,,кемеровская область север,да,нет,0
8889,14,женский,60,,собственное,разведен,да,,кемеровская область север,да,нет,0
8892,14,женский,64,нет,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,,нет,0
8893,14,женский,29,,муниципальное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
8895,14,женский,66,нет,собственное,холост,да,,кемеровская область юг,нет,нет,1
8896,14,женский,63,,,,да,,кемеровская область юг,да,нет,1
8897,14,женский,47,,,,да,официальное,кемеровская область север,нет,нет,1
8898,14,мужской,23,,собственное,холост,нет,,кемеровская область север,да,нет,1
8899,14,женский,44,,собственное,разведен,нет,,кемеровская область юг,да,да,1
8900,14,женский,33,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,1
8902,14,женский,41,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,1
8904,59,женский,49,,собственное,разведен,да,,кемеровская область север,нет,нет,1
8908,14,мужской,27,,долевая собственность,гражданский брак/женат/замужем,нет,неофициальное,кемеровская область юг,да,нет,1
8909,14,мужской,19,,,,да,официальное,кемеровская область север,нет,нет,1
8912,14,женский,41,,,холост,да,,кемеровская область север,нет,нет,1
8913,14,мужской,31,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,1
8922,14,женский,32,,,,да,,кемеровская область юг,нет,нет,1
8925,14,мужской,37,,арендуемое,гражданский брак/женат/замужем,да,официальное,алтайский край,да,нет,1
8929,14,мужской,22,нет,живут с родителями,холост,нет,,кемеровская область юг,нет,нет,1
8936,14,мужской,25,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,1
8938,14,мужской,31,,,,да,,кемеровская область север,да,нет,1
8942,9,мужской,30,,собственное,,да,,алтайский край,нет,нет,1
8944,9,мужской,29,,,,да,,кемеровская область север,нет,нет,0
8945,9,мужской,23,,,,да,,кемеровская область север,да,да,0
8947,9,женский,26,,живут с родителями,разведен,нет,официальное,кемеровская область север,да,нет,0
8950,14,мужской,29,нет,муниципальное,разведен,да,,кемеровская область север,нет,да,0
8952,14,женский,62,да,собственное,гражданский брак/женат/замужем,нет,,красноярский край,нет,нет,0
8954,14,женский,39,,,,да,официальное,кемеровская область юг,нет,да,0
8955,14,мужской,23,,собственное,холост,нет,официальное,кемеровская область север,нет,нет,0
8956,14,женский,51,нет,собственное,вдова/вдовец,да,,кемеровская область север,да,нет,0
8958,14,женский,31,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,0
8961,14,женский,48,,,,нет,,кемеровская область север,нет,нет,1
8965,14,мужской,29,да,муниципальное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
8970,14,женский,54,,собственное,холост,да,официальное,кемеровская область север,да,нет,1
8971,9,женский,53,,собственное,холост,да,официальное,кемеровская область юг,да,нет,1
8975,9,мужской,49,,,,да,,кемеровская область север,нет,нет,1
8976,14,мужской,29,,собственное,,да,официальное,кемеровская область север,да,нет,1
8979,14,мужской,35,,,,нет,,кемеровская область юг,нет,да,1
8980,14,мужской,32,,собственное,холост,нет,официальное,кемеровская область север,,,1
8989,9,мужской,32,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,1
8992,9,мужской,25,,,,да,,кемеровская область север,да,да,0
8993,9,мужской,26,,,,да,,кемеровская область север,да,да,0
8995,9,мужской,51,,муниципальное,гражданский брак/женат/замужем,нет,,кемеровская область север,да,нет,0
8997,14,женский,23,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,0
8999,14,женский,46,,,,да,,кемеровская область север,да,да,0
9000,14,мужской,25,,долевая собственность,холост,да,официальное,кемеровская область юг,да,нет,0
9001,14,мужской,34,,собственное,холост,да,,кемеровская область север,да,нет,0
9006,14,женский,28,нет,живут с родителями,холост,да,,кемеровская область север,нет,да,0
9008,14,мужской,45,нет,собственное,холост,нет,,кемеровская область юг,да,нет,0
9009,14,женский,56,,,,да,,кемеровская область север,да,нет,0
9010,14,женский,54,,собственное,холост,да,официальное,кемеровская область юг,да,нет,0
9011,14,женский,63,,,,да,,новосибирская область,да,нет,0
9012,14,женский,59,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
9014,14,женский,38,,собственное,вдова/вдовец,нет,официальное,кемеровская область север,нет,да,0
9015,14,мужской,60,да,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,нет,0
9016,14,мужской,35,нет,собственное,холост,да,,новосибирская область,да,нет,0
9024,14,женский,56,нет,собственное,гражданский брак/женат/замужем,да,,алтайский край,да,нет,0
9026,14,женский,57,,,,да,,кемеровская область юг,нет,,0
9031,14,женский,53,,,,да,,кемеровская область север,да,нет,1
9032,9,женский,31,,,,да,,кемеровская область север,нет,,1
9035,14,мужской,21,,собственное,,да,официальное,кемеровская область север,нет,нет,1
9036,14,мужской,66,нет,долевая собственность,гражданский брак/женат/замужем,нет,,алтайский край,нет,нет,1
9037,59,женский,58,,,,да,,новосибирская область,да,нет,1
9039,14,женский,66,,собственное,,да,,кемеровская область север,нет,нет,1
9040,14,женский,68,,собственное,вдова/вдовец,да,,кемеровская область север,нет,нет,1
9042,14,женский,30,,собственное,вдова/вдовец,да,,кемеровская область север,нет,да,1
9043,14,мужской,39,да,собственное,разведен,да,,кемеровская область север,да,да,1
9046,59,мужской,26,,живут с родителями,холост,нет,официальное,кемеровская область юг,нет,нет,1
9048,14,женский,28,нет,собственное,холост,да,,кемеровская область север,да,да,1
9052,14,женский,27,,собственное,холост,да,официальное,алтайский край,да,да,1
9055,14,женский,65,да,собственное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,1
9057,14,мужской,25,,,,нет,,кемеровская область юг,нет,да,1
9059,14,мужской,35,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,1
9062,29,женский,59,,собственное,разведен,да,,кемеровская область юг,нет,нет,1
9066,14,мужской,42,нет,собственное,гражданский брак/женат/замужем,нет,,красноярский край,нет,нет,1
9067,19,мужской,23,,живут с родителями,холост,нет,официальное,кемеровская область юг,нет,нет,1
9068,14,мужской,21,,,,да,официальное,кемеровская область север,нет,да,1
9069,14,женский,26,,,,да,официальное,кемеровская область север,да,да,1
9071,14,женский,23,нет,живут с родителями,вдова/вдовец,да,,новосибирская область,нет,да,1
9077,14,мужской,20,нет,собственное,холост,нет,официальное,кемеровская область север,да,,1
9080,14,мужской,24,,собственное,гражданский брак/женат/замужем,да,,алтайский край,нет,да,1
9081,14,мужской,29,,долевая собственность,холост,да,,кемеровская область юг,нет,нет,1
9085,14,мужской,35,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,1
9089,14,женский,47,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,1
9090,14,женский,30,,собственное,,да,,кемеровская область юг,нет,нет,1
9093,14,мужской,39,нет,собственное,гражданский брак/женат/замужем,да,,алтайский край,нет,нет,1
9095,14,женский,26,,живут с родителями,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,1
9097,14,женский,57,нет,собственное,разведен,нет,,алтайский край,да,нет,1
9098,14,мужской,57,нет,собственное,разведен,да,,кемеровская область юг,нет,нет,1
9099,14,женский,28,,собственное,разведен,нет,официальное,кемеровская область юг,да,да,1
9102,14,женский,37,нет,муниципальное,холост,да,,кемеровская область юг,да,да,1
9103,14,женский,23,,,,да,,кемеровская область север,,да,1
9104,14,женский,61,,,,да,,кемеровская область север,да,нет,1
9106,14,мужской,54,,,,да,,кемеровская область юг,нет,да,1
9107,4,мужской,28,нет,арендуемое,холост,да,,кемеровская область север,да,нет,1
9109,9,мужской,52,,собственное,гражданский брак/женат/замужем,нет,неофициальное,кемеровская область север,нет,нет,1
9111,4,мужской,26,,арендуемое,холост,нет,официальное,кемеровская область юг,нет,нет,1
9114,9,мужской,39,нет,собственное,холост,нет,,кемеровская область север,нет,нет,0
9115,14,мужской,29,нет,муниципальное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
9121,14,женский,51,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,0
9125,14,мужской,28,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
9129,14,женский,59,нет,долевая собственность,гражданский брак/женат/замужем,нет,,алтайский край,нет,нет,0
9130,14,мужской,55,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,,0
9132,14,женский,60,,собственное,вдова/вдовец,нет,,кемеровская область север,да,нет,0
9136,14,женский,20,,,,да,,кемеровская область север,нет,нет,0
9137,9,мужской,22,,,,нет,,кемеровская область север,нет,нет,0
9138,14,женский,24,,,,да,,новосибирская область,нет,нет,0
9140,14,женский,31,нет,собственное,холост,да,,кемеровская область север,да,да,0
9141,14,мужской,30,,,,нет,,кемеровская область юг,,нет,0
9143,9,женский,34,,,,да,,кемеровская область север,да,да,1
9145,14,женский,44,,собственное,разведен,да,,кемеровская область юг,да,нет,1
9153,59,женский,52,,,,да,,кемеровская область север,нет,нет,1
9157,59,женский,39,,,,да,,кемеровская область север,да,нет,1
9158,59,женский,23,,,,да,,кемеровская область север,нет,да,1
9159,59,мужской,19,,,,нет,неофициальное,кемеровская область юг,да,нет,1
9160,59,мужской,29,,арендуемое,холост,нет,официальное,кемеровская область юг,нет,нет,1
9161,59,женский,19,,муниципальное,холост,нет,официальное,кемеровская область юг,нет,нет,1
9164,59,женский,32,,,,да,,кемеровская область север,да,нет,1
9165,14,женский,40,,долевая собственность,холост,нет,официальное,кемеровская область юг,нет,нет,1
9168,14,мужской,33,,,,да,,кемеровская область юг,да,да,1
9170,14,мужской,21,,,,да,,кемеровская область север,,нет,1
9171,14,мужской,29,,долевая собственность,разведен,нет,,кемеровская область юг,нет,да,1
9174,14,мужской,30,,собственное,холост,нет,,кемеровская область север,да,нет,1
9177,14,женский,56,да,собственное,гражданский брак/женат/замужем,нет,,алтайский край,нет,нет,1
9178,14,мужской,22,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,нет,1
9180,14,мужской,24,,живут с родителями,гражданский брак/женат/замужем,да,неофициальное,кемеровская область юг,нет,нет,1
9183,14,женский,20,,арендуемое,гражданский брак/женат/замужем,нет,неофициальное,кемеровская область север,нет,нет,1
9184,14,женский,48,,,,да,,алтайский край,нет,нет,1
9195,14,мужской,35,,,,нет,,кемеровская область юг,нет,нет,1
9198,14,женский,26,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,да,1
9201,14,женский,23,нет,собственное,разведен,нет,официальное,алтайский край,,да,1
9202,14,мужской,39,,собственное,гражданский брак/женат/замужем,да,неофициальное,кемеровская область север,нет,да,1
9203,9,мужской,23,,живут с родителями,холост,да,,кемеровская область север,да,нет,1
9204,9,женский,45,,,,да,,кемеровская область юг,нет,да,1
9209,14,мужской,59,,собственное,вдова/вдовец,нет,,кемеровская область север,да,нет,0
9211,14,мужской,49,,,,да,,кемеровская область север,да,да,0
9212,14,женский,49,нет,арендуемое,разведен,нет,,кемеровская область север,да,нет,0
9214,14,мужской,54,,,,да,,кемеровская область юг,нет,нет,0
9216,14,мужской,31,,,,нет,официальное,алтайский край,нет,да,0
9221,14,женский,25,,собственное,разведен,нет,,кемеровская область север,да,да,0
9223,14,женский,58,,,,да,,кемеровская область север,да,нет,0
9224,14,мужской,38,да,собственное,гражданский брак/женат/замужем,да,,новосибирская область,нет,нет,0
9228,14,мужской,23,,,,нет,,кемеровская область юг,нет,нет,0
9231,59,мужской,32,,,,нет,,кемеровская область юг,да,нет,0
9232,9,мужской,26,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,0
9234,14,мужской,24,,,,да,,кемеровская область север,нет,нет,0
9235,14,женский,31,,,,да,,кемеровская область север,нет,да,0
9237,14,мужской,28,,,,да,,кемеровская область север,нет,нет,0
9238,29,женский,53,нет,собственное,вдова/вдовец,да,,кемеровская область север,да,,0
9243,14,женский,30,нет,арендуемое,холост,да,официальное,кемеровская область север,,да,1
9244,14,мужской,28,,арендуемое,холост,нет,официальное,кемеровская область север,нет,нет,1
9245,59,женский,58,,,,да,,кемеровская область север,,нет,1
9246,14,женский,40,,,,да,,кемеровская область север,да,нет,1
9247,29,женский,62,,собственное,холост,да,,кемеровская область юг,нет,нет,1
9248,14,женский,62,,собственное,разведен,да,,кемеровская область север,нет,нет,1
9249,14,женский,23,,,,да,,кемеровская область юг,да,да,1
9250,14,мужской,40,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
9251,14,женский,34,,,,да,,кемеровская область север,,да,1
9252,14,женский,40,,собственное,вдова/вдовец,нет,официальное,кемеровская область юг,да,,1
9255,59,женский,42,,,,да,,кемеровская область юг,да,да,1
9257,14,женский,39,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,1
9261,14,женский,36,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,1
9262,44,мужской,26,,,,да,,кемеровская область север,да,да,1
9263,14,женский,38,,,,да,,алтайский край,,да,1
9264,14,мужской,51,,,,да,,кемеровская область юг,нет,нет,1
9265,14,мужской,38,,,,да,,алтайский край,да,да,1
9268,29,мужской,66,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,1
9270,9,мужской,32,,арендуемое,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,1
9271,14,женский,33,нет,муниципальное,холост,да,,красноярский край,да,нет,1
9274,14,женский,46,,арендуемое,холост,нет,,кемеровская область север,нет,нет,1
9277,29,мужской,19,,собственное,холост,да,,новосибирская область,нет,нет,1
9278,29,мужской,64,нет,собственное,вдова/вдовец,да,,алтайский край,нет,нет,1
9279,14,мужской,55,,арендуемое,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,1
9282,9,мужской,46,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,1
9283,9,мужской,27,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,1
9284,14,женский,31,,собственное,холост,нет,,кемеровская область север,нет,нет,1
9285,14,женский,32,,,,нет,неофициальное,кемеровская область юг,да,нет,1
9296,14,женский,41,,,,да,,кемеровская область север,да,да,1
9297,14,мужской,48,,,,да,,кемеровская область север,да,да,1
9300,14,женский,33,,,,да,,кемеровская область юг,да,нет,1
9304,14,мужской,51,нет,собственное,разведен,да,официальное,новосибирская область,нет,,1
9305,14,женский,27,да,собственное,,нет,неофициальное,алтайский край,нет,да,1
9308,14,мужской,22,,,,нет,официальное,красноярский край,нет,нет,1
9309,14,мужской,25,нет,живут с родителями,холост,да,,кемеровская область юг,нет,нет,1
9310,14,мужской,20,,,,да,,новосибирская область,нет,нет,1
9312,14,женский,29,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,1
9313,9,мужской,31,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,1
9314,9,мужской,26,,,,да,,кемеровская область север,да,да,1
9316,4,мужской,33,,,,нет,официальное,кемеровская область север,нет,да,0
9317,4,мужской,34,,,,да,,новосибирская область,да,да,0
9318,14,женский,39,,собственное,холост,да,,кемеровская область север,да,да,0
9319,14,мужской,32,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,0
9320,14,мужской,41,,,,да,,алтайский край,нет,нет,0
9321,14,мужской,21,,,,да,,алтайский край,нет,нет,0
9322,14,женский,63,нет,собственное,холост,нет,,алтайский край,нет,нет,0
9323,14,женский,41,,собственное,разведен,да,,кемеровская область север,нет,да,0
9325,14,мужской,55,нет,муниципальное,гражданский брак/женат/замужем,нет,,новосибирская область,нет,,0
9327,14,мужской,54,,,,нет,,кемеровская область север,нет,нет,0
9328,14,женский,63,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,нет,0
9330,14,женский,52,,,,нет,,алтайский край,да,да,0
9333,14,женский,33,,,,нет,,кемеровская область север,нет,нет,0
9335,14,женский,37,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
9337,20,женский,40,,собственное,холост,да,,кемеровская область юг,да,да,0
9338,29,мужской,47,,,,да,,кемеровская область север,нет,нет,0
9339,29,мужской,26,,собственное,холост,да,,кемеровская область юг,да,нет,0
9341,29,женский,50,,собственное,разведен,нет,официальное,кемеровская область юг,да,нет,0
9344,9,мужской,23,,,,да,,кемеровская область север,нет,нет,0
9345,14,женский,61,,,вдова/вдовец,нет,,кемеровская область север,да,нет,0
9346,14,женский,39,,собственное,холост,нет,,кемеровская область север,нет,да,0
9352,14,женский,36,,собственное,,да,,кемеровская область север,нет,да,1
9356,14,мужской,46,нет,собственное,холост,да,официальное,кемеровская область юг,,нет,1
9357,14,женский,36,да,собственное,холост,да,,кемеровская область север,да,да,1
9358,14,мужской,63,нет,долевая собственность,гражданский брак/женат/замужем,да,,алтайский край,да,да,1
9361,14,мужской,27,,собственное,холост,да,официальное,кемеровская область юг,да,нет,1
9362,14,женский,58,нет,собственное,вдова/вдовец,да,,кемеровская область юг,нет,нет,1
9364,14,женский,52,,муниципальное,холост,да,,кемеровская область север,да,нет,1
9367,59,женский,34,нет,собственное,вдова/вдовец,нет,,алтайский край,нет,да,1
9368,59,женский,51,,,,да,,кемеровская область юг,нет,нет,1
9369,59,женский,56,да,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,нет,нет,1
9371,14,женский,51,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,1
9373,14,женский,53,,собственное,вдова/вдовец,да,официальное,алтайский край,да,нет,1
9375,14,мужской,40,да,собственное,разведен,нет,,кемеровская область юг,,нет,1
9376,14,мужской,48,,,,да,,кемеровская область юг,да,да,1
9377,14,женский,36,,,,да,,алтайский край,нет,да,1
9380,14,женский,66,да,собственное,вдова/вдовец,нет,,красноярский край,нет,нет,1
9381,31,мужской,48,,,,да,,кемеровская область юг,нет,нет,1
9387,14,женский,66,нет,собственное,холост,нет,,алтайский край,нет,нет,1
9388,29,мужской,26,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,1
9392,14,мужской,59,,,,да,,алтайский край,нет,да,1
9396,9,женский,33,,,,да,,кемеровская область север,да,да,1
9401,14,женский,53,,собственное,разведен,да,,кемеровская область север,нет,нет,1
9402,14,мужской,32,нет,долевая собственность,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,1
9404,14,мужской,24,,,,нет,официальное,красноярский край,нет,нет,1
9405,14,женский,61,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,нет,1
9406,14,мужской,41,,,,да,,алтайский край,нет,нет,1
9407,14,женский,31,,,,да,,кемеровская область юг,нет,да,1
9410,14,мужской,28,нет,живут с родителями,холост,нет,,кемеровская область юг,да,нет,1
9411,14,мужской,30,нет,долевая собственность,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,1
9417,14,женский,33,,,,да,официальное,кемеровская область север,да,да,1
9418,9,мужской,30,нет,,холост,нет,официальное,кемеровская область север,нет,нет,1
9419,9,женский,27,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,1
9421,4,женский,53,,собственное,холост,да,,кемеровская область север,да,нет,0
9423,9,женский,29,,,,да,,кемеровская область север,да,да,0
9424,9,мужской,27,,,,нет,официальное,новосибирская область,нет,нет,0
9425,13,женский,59,,,,да,,новосибирская область,да,нет,0
9427,14,мужской,51,,,,нет,,кемеровская область север,да,нет,0
9431,14,мужской,56,,,,да,,кемеровская область юг,да,нет,0
9433,14,женский,55,нет,собственное,гражданский брак/женат/замужем,да,,новосибирская область,нет,нет,0
9435,14,мужской,57,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,нет,0
9436,14,мужской,47,,,,нет,,кемеровская область север,нет,да,0
9437,14,женский,68,,собственное,вдова/вдовец,нет,,кемеровская область север,да,нет,0
9438,14,женский,35,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,0
9442,14,мужской,54,да,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,да,нет,0
9445,14,мужской,58,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,нет,0
9446,14,мужской,64,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,,0
9450,14,мужской,24,,живут с родителями,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
9451,14,мужской,29,,,,да,,кемеровская область север,да,нет,0
9452,14,женский,61,,,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
9453,14,женский,30,нет,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,да,да,0
9459,59,женский,61,нет,муниципальное,холост,нет,,новосибирская область,да,нет,0
9462,14,женский,68,нет,собственное,вдова/вдовец,нет,,алтайский край,нет,нет,0
9464,14,женский,50,,,,да,официальное,кемеровская область север,да,нет,0
9465,14,мужской,26,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
9466,14,женский,29,,живут с родителями,холост,да,,кемеровская область север,да,нет,0
9467,14,женский,50,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
9471,14,женский,41,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,1
9473,14,мужской,25,,живут с родителями,гражданский брак/женат/замужем,да,,кемеровская область юг,,да,1
9476,14,женский,62,нет,собственное,разведен,нет,,красноярский край,да,нет,1
9477,59,женский,40,нет,собственное,холост,да,,новосибирская область,нет,да,1
9479,14,мужской,57,нет,собственное,разведен,нет,,алтайский край,нет,нет,1
9482,14,женский,50,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,1
9485,59,мужской,46,,собственное,разведен,да,,кемеровская область юг,да,нет,1
