,loan_term,gender,age,auto,housing,marstatus,regclient,jobtype,region,credits,children,delinq60plus
134,14,мужской,27,,живут с родителями,гражданский брак/женат/замужем,нет,,кемеровская область юг,да,да,1
140,3,женский,24,,,,да,,кемеровская область юг,да,нет,0
141,9,женский,23,,собственное,холост,да,,кемеровская область север,да,да,0
142,14,женский,48,нет,собственное,холост,да,,кемеровская область юг,да,да,0
146,14,женский,43,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,0
147,14,мужской,27,,,,да,,кемеровская область север,да,да,0
148,14,мужской,67,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,нет,0
149,14,мужской,26,,живут с родителями,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,0
152,14,мужской,52,,собственное,разведен,нет,,кемеровская область юг,,нет,1
153,14,мужской,27,да,живут с родителями,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,1
155,14,мужской,33,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,1
159,14,мужской,27,,муниципальное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,да,1
161,9,мужской,23,,арендуемое,,да,,кемеровская область север,,нет,1
162,14,мужской,30,нет,собственное,холост,да,,кемеровская область юг,нет,нет,1
163,14,мужской,39,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
164,14,женский,27,,,,да,,кемеровская область юг,нет,да,1
165,14,женский,37,,собственное,разведен,да,официальное,кемеровская область юг,да,да,1
169,14,мужской,21,,,,нет,,кемеровская область юг,нет,нет,1
170,14,мужской,29,,собственное,холост,да,официальное,кемеровская область север,нет,нет,1
171,9,мужской,26,нет,собственное,холост,нет,,кемеровская область север,да,нет,1
175,9,мужской,46,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,,нет,0
176,9,мужской,27,,собственное,холост,да,официальное,кемеровская область север,да,,0
179,14,женский,52,,,,нет,официальное,кемеровская область юг,нет,нет,0
181,14,женский,23,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
184,14,мужской,53,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,,,0
185,14,женский,56,,собственное,холост,нет,официальное,кемеровская область юг,нет,,0
186,14,женский,57,нет,собственное,разведен,нет,,кемеровская область север,да,нет,0
187,14,женский,23,,,,да,,кемеровская область север,нет,нет,0
188,14,женский,54,,собственное,холост,да,,кемеровская область юг,да,нет,0
190,29,мужской,22,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,0
191,14,женский,34,,,,да,,кемеровская область юг,да,да,1
192,59,женский,49,,,,нет,официальное,новосибирская область,да,да,1
194,14,мужской,20,,собственное,холост,нет,официальное,кемеровская область север,нет,,1
196,14,женский,50,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,нет,1
198,14,женский,28,,долевая собственность,холост,нет,,кемеровская область юг,нет,да,1
199,14,женский,28,нет,собственное,холост,нет,,кемеровская область север,да,нет,1
200,14,женский,51,нет,собственное,холост,нет,,новосибирская область,да,нет,1
201,14,мужской,24,да,долевая собственность,,да,официальное,кемеровская область юг,да,нет,1
203,4,мужской,54,да,муниципальное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
204,4,мужской,39,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,0
205,9,женский,64,нет,собственное,вдова/вдовец,нет,,кемеровская область юг,нет,нет,0
208,14,женский,19,,,,да,,кемеровская область юг,,нет,0
212,14,женский,52,нет,муниципальное,вдова/вдовец,нет,,кемеровская область север,да,нет,0
213,14,женский,27,,собственное,холост,да,официальное,кемеровская область юг,нет,нет,0
214,14,женский,44,,собственное,разведен,нет,официальное,кемеровская область север,да,да,0
215,14,женский,59,,,,да,,кемеровская область север,да,нет,0
216,14,женский,58,нет,собственное,холост,да,,кемеровская область север,да,нет,0
218,14,мужской,38,да,живут с родителями,разведен,да,,кемеровская область юг,нет,нет,0
219,14,женский,40,,,,нет,официальное,новосибирская область,да,нет,0
222,14,женский,49,,собственное,,да,,кемеровская область север,,,0
223,14,мужской,28,,живут с родителями,холост,да,,кемеровская область юг,да,нет,0
224,29,мужской,61,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,0
225,59,женский,67,нет,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,да,нет,0
226,14,мужской,48,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,1
228,14,женский,42,,собственное,холост,да,,кемеровская область север,да,нет,1
229,14,женский,52,,,,да,,кемеровская область север,да,нет,1
230,14,мужской,40,,,,да,,кемеровская область юг,нет,,1
234,14,мужской,27,нет,,гражданский брак/женат/замужем,нет,,кемеровская область юг,да,да,1
237,14,мужской,24,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,1
239,14,мужской,28,,,,нет,,кемеровская область юг,нет,нет,1
240,14,мужской,37,,долевая собственность,разведен,нет,официальное,кемеровская область юг,да,да,1
241,14,мужской,39,,муниципальное,холост,нет,,кемеровская область север,нет,нет,1
246,14,женский,58,,,,да,,кемеровская область север,да,нет,1
248,14,мужской,37,,арендуемое,,да,,кемеровская область север,да,нет,1
250,9,мужской,19,,собственное,холост,нет,,кемеровская область юг,нет,нет,1
251,9,женский,43,,,,да,,кемеровская область север,нет,нет,1
253,9,женский,57,,арендуемое,холост,нет,официальное,кемеровская область север,да,нет,0
254,9,мужской,60,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,нет,0
255,9,мужской,33,,,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
258,9,женский,66,,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,да,нет,0
260,9,женский,32,,собственное,холост,да,,кемеровская область север,,да,0
261,9,женский,61,,,,да,,кемеровская область север,да,нет,0
263,14,женский,26,да,собственное,холост,нет,официальное,кемеровская область север,нет,,0
265,14,женский,63,,собственное,вдова/вдовец,да,,кемеровская область север,да,,0
266,14,женский,29,,собственное,разведен,да,,кемеровская область север,да,да,0
270,14,мужской,33,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
272,14,женский,49,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,нет,0
273,14,мужской,54,да,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,,да,0
274,14,мужской,28,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,0
275,14,мужской,20,,,,да,,кемеровская область юг,да,нет,0
277,14,женский,35,нет,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,,да,0
278,14,женский,43,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,да,1
279,14,мужской,27,да,,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,1
280,14,мужской,41,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
281,14,мужской,27,,,,да,,кемеровская область север,да,да,1
284,9,мужской,61,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,,1
286,14,женский,29,,,,нет,,кемеровская область юг,нет,да,1
287,29,мужской,33,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,1
288,14,женский,35,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,1
292,29,мужской,30,нет,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,нет,да,1
293,29,мужской,29,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,1
296,14,женский,22,,собственное,холост,да,,кемеровская область север,нет,да,1
297,14,мужской,23,да,собственное,,да,,кемеровская область юг,да,нет,1
298,14,мужской,30,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,1
299,14,женский,63,нет,собственное,разведен,нет,,кемеровская область юг,нет,нет,1
300,14,женский,44,нет,собственное,,да,,кемеровская область север,да,да,1
301,14,женский,53,,,,да,,кемеровская область север,нет,нет,1
303,14,мужской,24,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,1
304,14,женский,25,,собственное,холост,да,,кемеровская область север,нет,да,1
305,4,мужской,23,,собственное,холост,нет,официальное,кемеровская область юг,да,нет,1
307,4,мужской,45,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,0
311,9,женский,59,,,холост,да,,кемеровская область север,нет,нет,0
316,14,мужской,55,нет,живут с родителями,разведен,нет,,кемеровская область север,нет,нет,0
318,14,мужской,38,,,,да,официальное,кемеровская область север,нет,да,0
319,14,мужской,32,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,0
320,14,женский,55,,,,да,,кемеровская область юг,да,нет,0
321,14,женский,30,,,,нет,,кемеровская область север,да,нет,0
322,19,женский,32,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,0
323,59,женский,28,,долевая собственность,разведен,нет,официальное,кемеровская область юг,да,да,0
326,14,женский,60,нет,собственное,вдова/вдовец,да,,кемеровская область юг,да,нет,0
328,14,женский,47,,,,нет,,кемеровская область север,нет,нет,1
329,9,женский,27,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,1
331,14,женский,27,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,нет,1
333,14,женский,49,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,,нет,1
334,59,мужской,42,нет,собственное,гражданский брак/женат/замужем,да,,новосибирская область,нет,да,1
335,59,мужской,30,,,,да,,кемеровская область север,нет,нет,1
336,59,женский,31,,собственное,разведен,нет,официальное,кемеровская область юг,да,да,1
337,14,женский,56,нет,собственное,вдова/вдовец,да,,новосибирская область,нет,нет,1
341,29,женский,23,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,1
342,14,женский,59,,собственное,вдова/вдовец,да,,кемеровская область север,нет,нет,1
344,14,женский,56,,,,да,,кемеровская область север,нет,нет,1
346,14,мужской,35,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,нет,да,1
348,14,женский,62,нет,собственное,холост,да,,новосибирская область,да,нет,1
349,14,женский,26,нет,собственное,гражданский брак/женат/замужем,да,,новосибирская область,да,да,1
351,14,женский,30,,собственное,,да,,кемеровская область север,нет,да,1
352,14,мужской,28,нет,живут с родителями,холост,нет,официальное,кемеровская область юг,,нет,1
354,14,мужской,23,,живут с родителями,холост,да,официальное,кемеровская область юг,нет,нет,1
362,14,мужской,26,,собственное,,да,официальное,кемеровская область север,нет,нет,1
364,9,мужской,22,,собственное,холост,нет,официальное,кемеровская область юг,нет,нет,1
365,4,женский,62,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,нет,0
366,4,мужской,35,,,,да,,кемеровская область север,нет,да,0
