gender,age,marstatus,children,age
Женский,35,Разведен,Нет,7
Женский,35,Холост,Да,52
Женский,35,Холост,Нет,27
Женский,36,Вдова/вдовец,Да,13
Женский,36,Гражданский брак/женат/замужем,Да,154
Женский,36,Гражданский брак/женат/замужем,Нет,38
Женский,36,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,36,Разведен,Да,38
Женский,36,Разведен,Нет,14
Женский,36,Разведен,Пропуск поля,1
Женский,36,Холост,Да,53
Женский,36,Холост,Нет,24
Женский,36,Холост,Пропуск поля,1
Женский,37,Вдова/вдовец,Да,16
Женский,37,Вдова/вдовец,Нет,5
Женский,37,Вдова/вдовец,Пропуск поля,1
Женский,37,Гражданский брак/женат/замужем,Да,141
Женский,37,Гражданский брак/женат/замужем,Нет,42
Женский,37,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,37,Разведен,Да,39
Женский,37,Разведен,Нет,16
Женский,37,Холост,Да,45
Женский,37,Холост,Нет,36
Женский,37,Холост,Пропуск поля,1
Женский,38,Вдова/вдовец,Да,12
Женский,38,Вдова/вдовец,Нет,8
Женский,38,Гражданский брак/женат/замужем,Да,128
Женский,38,Гражданский брак/женат/замужем,Нет,33
Женский,38,Разведен,Да,42
Женский,38,Разведен,Нет,11
Женский,38,Холост,Да,37
Женский,38,Холост,Нет,33
Женский,38,Холост,Пропуск поля,1
Женский,39,Вдова/вдовец,Да,9
Женский,39,Вдова/вдовец,Нет,5
Женский,39,Гражданский брак/женат/замужем,Да,117
Женский,39,Гражданский брак/женат/замужем,Нет,55
Женский,39,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,39,Разведен,Да,39
Женский,39,Разведен,Нет,24
Женский,39,Разведен,Пропуск поля,1
Женский,39,Холост,Да,38
Женский,39,Холост,Нет,30
Женский,40,Вдова/вдовец,Да,10
Женский,40,Вдова/вдовец,Нет,7
Женский,40,Вдова/вдовец,Пропуск поля,1
Женский,40,Гражданский брак/женат/замужем,Да,115
Женский,40,Гражданский брак/женат/замужем,Нет,54
Женский,40,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,40,Разведен,Да,36
Женский,40,Разведен,Нет,19
Женский,40,Холост,Да,37
Женский,40,Холост,Нет,28
Женский,40,Холост,Пропуск поля,1
Женский,41,Вдова/вдовец,Да,6
Женский,41,Вдова/вдовец,Нет,5
Женский,41,Гражданский брак/женат/замужем,Да,95
Женский,41,Гражданский брак/женат/замужем,Нет,65
Женский,41,Разведен,Да,37
Женский,41,Разведен,Нет,21
Женский,41,Разведен,Пропуск поля,1
Женский,41,Холост,Да,24
Женский,41,Холост,Нет,29
Женский,41,Холост,Пропуск поля,1
Женский,42,Вдова/вдовец,Да,4
Женский,42,Вдова/вдовец,Нет,12
Женский,42,Гражданский брак/женат/замужем,Да,52
Женский,42,Гражданский брак/женат/замужем,Нет,66
Женский,42,Гражданский брак/женат/замужем,Пропуск поля,2
Женский,42,Разведен,Да,22
Женский,42,Разведен,Нет,27
