iter	Passed	Remaining
0	57	57273
1	60	29984
2	62	20816
3	65	16248
4	67	13439
5	71	11815
6	73	10406
7	77	9550
8	79	8789
9	82	8146
10	84	7626
11	87	7227
12	90	6860
13	92	6522
14	95	6283
15	98	6039
16	100	5815
17	103	5624
18	105	5462119	108	5304
20	110	5172121	113	5060
22	116	4957
23	119	4842
24	122	4752525	125	4710
26	128	4618
27	130	4540
28	133	4474
29	137	4441
30	139	4373
31	142	4304
32	144	4235
33	146	4174
34	149	4126
35	152	4088
36	155	4040
37	158	4003
38	160	3966
39	163	3922
40	165	3879
41	169	3862
42	172	3833
43	174	3793
44	177	3763
45	179	3728
46	182	3696
47	185	3677
48	188	3649
49	190	3622
50	192	3587
51	195	3563
52	198	3542
53	201	3533
54	204	3505
55	206	3482
56	210	3485
57	213	3461
58	216	3453
59	219	3433
60	221	3410
61	224	3389
62	227	3376
63	229	3355
64	232	3338
65	235	3330
66	237	3310
67	240	3294
68	242	3275
69	245	3265
70	249	3261
71	251	3246
72	255	3247
73	258	3229
74	260	3216
75	263	3200
76	265	3187
77	268	3178
78	271	3164
79	274	3153
80	276	3137
81	278	3122
82	281	3113
83	284	3100
84	286	3089
85	289	3077
86	291	3063
87	294	3054
88	298	3053
89	301	3044
90	303	3032
91	305	3019
92	308	3006
93	310	2996
94	315	3006
95	318	2997
96	320	2984
97	323	2975
98	325	2962
99	329	2962
100	331	2951
101	334	2940
102	336	2928
103	338	2918
104	341	2909
105	344	2903
106	347	2901
107	351	2899
108	353	2888
109	356	2881
110	358	2870
111	362	2877
112	365	2870
113	368	2861
114	371	2855
115	373	2847
116	376	2842
117	379	2833
118	382	2829
119	385	2825
120	388	2821
121	390	2813
122	394	2809
123	396	2803
124	400	2802
125	403	2801
126	406	2795
127	410	2797
128	414	2798
129	417	2794
130	420	2786
131	422	2777
132	425	2770
133	427	2765
134	430	2758
135	433	2751
136	435	2744
137	438	2737
138	440	2729
139	443	2723
140	445	2715
141	448	2709
142	451	2703
143	453	2696
144	456	2693
145	459	2690
146	462	2684
147	465	2678
148	468	2672
149	470	2668
150	473	2662
151	476	2655
152	478	2649
153	481	2642
154	483	2635
155	486	2632
156	489	2628
157	492	2621
158	494	2617
159	498	2615
160	500	2609
161	503	2606
162	506	2602
163	509	2594
164	511	2589
165	514	2583
166	516	2578
167	519	2571
168	522	2568
169	524	2562
170	527	2556
171	530	2552
172	532	2546
173	535	2541
174	537	2535
175	540	2529
176	543	2526
177	545	2521
178	548	2516
179	551	2511
180	554	2506
181	557	2504
182	559	2499
183	562	2495
184	565	2491
185	568	2487
186	571	2484
187	574	2480
188	576	2475
189	579	2472
190	584	2477
191	587	2472
192	590	2467
193	592	2463
194	595	2457
195	597	2452
196	601	2450
197	603	2444
198	606	2439
199	608	2433
200	610	2428
201	613	2422
202	615	2417
203	618	2412
204	620	2407
205	623	2402
206	626	2398
207	628	2394
208	631	2389
209	634	2387
210	637	2382
211	640	2379
212	643	2375
213	645	2370
214	648	2367
215	651	2363
216	653	2358
217	656	2353
218	659	2350
219	661	2346
220	665	2345
221	668	2341
222	670	2336
223	672	2331
224	675	2327
225	678	2323
226	681	2319
227	683	2315
228	686	2312
229	689	2307
230	691	2302
231	694	2298
232	697	2297
233	701	2294
234	703	2291
235	706	2286
236	708	2282
237	711	2278
238	714	2275
239	717	2271
240	720	2267
241	722	2263
242	725	2259
243	727	2255
244	732	2256
245	734	2251
246	737	2248
247	739	2243
248	742	2239
